,disease
681,Camptobrachydactyly
682,Brachytelephalangy with Characteristic Facies and Kallmann Syndrome
683,Igg4-Related Kidney Disease
684,"Adactylia, Unilateral"
685,"Thumbs, Stiff, with Brachydactyly Type A1 and Developmental Delay"
686,Central Polydactyly
687,Spondyloepimetaphyseal Dysplasia with Abnormal Dentition
688,Genochondromatosis
689,"Aphalangia, Partial, with Syndactyly and Duplication of Metatarsal Iv"
690,Thoracic Dysplasia-Hydrocephalus Syndrome
691,"Chondrodysplasia Punctata, Autosomal Dominant"
692,"Amelia, Autosomal Recessive"
693,Zygodactyly 1
694,Hyperphalangy
695,"Polysyndactyly, Crossed"
696,Spondyloepiphyseal Dysplasia with Atlantoaxial Instability
697,Hunter-Mcalpine Craniosynostosis Syndrome
698,Tetramelic Monodactyly
699,"Mucopolysaccharidosis Type 2, Attenuated Form"
700,Herrmann Opitz Craniosynostosis
701,Ectrodactyly-Polydactyly
702,Craniofrontonasal Dysplasia-Poland Anomaly Syndrome
703,Cono-Spondylar Dysplasia
704,"Exostoses with Anetodermia and Brachydactyly, Type E"
705,Chondroectodermal Dysplasia with Night Blindness
706,Brachydactyly-Ectrodactyly with Fibular Aplasia or Hypoplasia
707,Chondrodysplasia Lethal Recessive
708,Hallux Varus and Preaxial Polysyndactyly
709,"Postaxial Oligodactyly, Tetramelic"
710,Wahab Syndrome
711,Synpolydactyly 3
712,Synpolydactyly 3
713,Astley-Kendall Syndrome
714,Ossification Anomalies-Psychomotor Developmental Delay Syndrome
715,"Larsen-Like Syndrome, Lethal Type"
716,Coxoauricular Syndrome
717,Aapoaiv Amyloidosis
718,Condensing Osteitis of the Clavicle
719,"Craniosynostosis, Calcification of Basal Ganglia, and Facial Dysmorphism"
720,"Epiphyseal Dysplasia, Multiple, with Severe Proximal Femoral Dysplasia"
721,Traumatic Avascular Necrosis
722,Acheiria
723,"Trochlea of the Humerus, Aplasia of"
724,Handigodu Joint Disease
725,Triphalangeal Thumbs and Dislocation of Patella
726,Hallermann-Streiff-Like Syndrome
727,Acquired Angioedema Type 2
728,Mixed Cryoglobulinemia Type Iii
729,Variant Abeta2m Amyloidosis
730,Craniofacial Conodysplasia
731,Primary Polyarteritis Nodosa
732,Ischiovertebral Syndrome
733,"Epiphyseal Dysplasia, Multiple, with Miniepiphyses"
734,Igg4-Related Aortitis
735,Ankyloblepharon Filiforme Adnatum-Imperforate Anus Syndrome
736,Idiopathic Eosinophilic Myositis
737,Symbrachydactyly of Hands and Feet
738,Craniomicromelic Syndrome
739,Baastrup's Syndrome
740,Baastrup's Syndrome
741,Primary Cutaneous Plasmacytosis
742,Myalgia-Eosinophilia Syndrome Associated with Tryptophan
743,Mirror Polydactyly-Vertebral Segmentation-Limbs Defects Syndrome
744,Ulnar Hemimelia
745,Spondylometaphyseal Dysplasia with Bowed Forearms and Facial Dysmorphism
746,Syndactyly Type 6
747,Humero-Ulnar Synostosis
748,Alect2 Amyloidosis
749,Glossopalatine Ankylosis
750,Fibular Dimelia-Diplopodia Syndrome
751,"Mucopolysaccharidosis Type 6, Rapidly Progressing"
752,"Mucopolysaccharidosis Type 6, Slowly Progressing"
753,Congenital Pseudoarthrosis of the Fibula
754,Congenital Pseudoarthrosis of the Ulna
755,Okihiro Syndrome Due to 20q13 Microdeletion
756,Robin Sequence with Distinctive Facial Appearance and Brachydactyly
757,Zygodactyly Type 3
758,Zygodactyly Type 3
759,Zygodactyly Type 3
760,Simple Cryoglobulinemia
761,Acquired Angioedema Type 1
762,Congenital Pseudoarthrosis of the Femur
763,Benallegue Lacete Syndrome
764,Amelia of Upper Limb
765,Infantile Onset Panniculitis with Uveitis and Systemic Granulomatosis
766,Prenatal Benign Hypophosphatasia
767,Congenital Pseudoarthrosis of the Radius
768,"Alpha-Mannosidosis, Adult Form"
769,"Alpha-Mannosidosis, Infantile Form"
770,Melhem Fahl Syndrome
771,Zygodactyly Type 2
772,Zygodactyly Type 2
773,Zygodactyly Type 2
774,Apodia
775,Secondary Polyarteritis Nodosa
776,Calciphylaxis Cutis
777,Okihiro Syndrome Due to a Point Mutation
778,"Metaphyseal Dysplasia, Braun-Tinschert Type"
779,Bipartite Talus
780,Congenital Sialidosis Type 2
781,Juvenile Sialidosis Type 2
782,Juvenile Overlap Myositis
783,Tibio-Fibular Synostosis
784,Single-Organ Polyarteritis Nodosa
785,Humeral Agenesis/hypoplasia
786,"Hyperphalangy, Unilateral"
787,Reunion Island Larsen-Like Syndrome
788,Zygodactyly Type 4
789,Congenital Absence of Upper Arm and Forearm with Hand Present
790,Congenital Absence of Upper Arm and Forearm with Hand Present
791,Congenital Absence/hypoplasia of Thumb
792,"Hyperphalangy, Bilateral"
793,Congenital Absence of Both Forearm and Hand
794,Congenital Absence of Both Forearm and Hand
795,Congenital Absence of Both Lower Leg and Foot
796,Congenital Absence of Both Lower Leg and Foot
797,Congenital Absence of Thigh and Lower Leg with Foot Present
798,Congenital Absence of Thigh and Lower Leg with Foot Present
799,Neonatal Autoimmune Hemolytic Anemia
800,Severe Lateral Tibial Bowing with Short Stature
801,"Acrofacial Dysostosis, Kennedy-Teebi Type"
802,"Humero-Ulnar Synostosis, Bilateral"
803,Trigonocephaly-Broad Thumbs Syndrome
804,Isolated Sternocostoclavicular Hyperostosis
805,"Radio-Ulnar Synostosis, Bilateral"
806,"Humero-Ulnar Synostosis, Unilateral"
807,"Radio-Ulnar Synostosis, Unilateral"
808,Unspecified Juvenile Idiopathic Arthritis
809,"Madelung Deformity, Bilateral"
810,Finger Hyperphalangy-Toe Anomalies-Severe Pectus Excavatum Syndrome
811,Polycystic Lipomembranous Osteodysplasia with Sclerosing Leukoencephalopathy 1
812,"Microcephalic Osteodysplastic Primordial Dwarfism, Type Ii"
813,Paget's Disease of Bone
814,"Multicentric Osteolysis, Nodulosis, and Arthropathy"
815,Osteoporosis
816,Osteoporosis
817,"Microcephalic Osteodysplastic Primordial Dwarfism, Type I"
818,"Microcephalic Osteodysplastic Primordial Dwarfism, Type I"
819,Brittle Bone Disorder
820,Brittle Bone Disorder
821,Osteopetrosis
822,"Osteopetrosis, Autosomal Recessive 3"
823,Chronic Recurrent Multifocal Osteomyelitis
824,Chronic Recurrent Multifocal Osteomyelitis
825,Chronic Recurrent Multifocal Osteomyelitis
826,"Osteogenesis Imperfecta, Type Ii"
827,"Osteogenesis Imperfecta, Type Ii"
828,Familial Expansile Osteolysis
829,"Platyspondylic Lethal Skeletal Dysplasia, Torrance Type"
830,Gracile Bone Dysplasia
831,"Osteopetrosis, Autosomal Dominant 2"
832,Osteogenic Sarcoma
833,Rheumatoid Arthritis
834,Rheumatoid Arthritis
835,Rheumatoid Arthritis
836,"Osteogenesis Imperfecta, Type I"
837,"Osteogenesis Imperfecta, Type I"
838,Spondyloepiphyseal Dysplasia with Congenital Joint Dislocations
839,"Osteopetrosis, Autosomal Recessive 7"
840,"Osteopetrosis, Autosomal Recessive 7"
841,"Osteopetrosis, Autosomal Recessive 6"
842,"Osteogenesis Imperfecta, Type Iii"
843,"Osteogenesis Imperfecta, Type Iii"
844,"Osteoporosis, Juvenile"
845,"Osteoporosis, Juvenile"
846,"Osteoporosis, Juvenile"
847,Diffuse Idiopathic Skeletal Hyperostosis
848,Juvenile Rheumatoid Arthritis
849,Juvenile Rheumatoid Arthritis
850,Juvenile Rheumatoid Arthritis
851,"Osteogenesis Imperfecta, Type Vii"
852,Buschke-Ollendorff Syndrome
853,Osteoglophonic Dysplasia
854,"Hypertrophic Osteoarthropathy, Primary, Autosomal Recessive, 1"
855,"Paget Disease of Bone 5, Juvenile-Onset"
856,"Paget Disease of Bone 5, Juvenile-Onset"
857,"Paget Disease of Bone 5, Juvenile-Onset"
858,Diaphyseal Medullary Stenosis with Malignant Fibrous Histiocytoma
859,Kohler's Disease
860,Legg-Calve-Perthes Disease
861,Legg-Calve-Perthes Disease
862,Legg-Calve-Perthes Disease
863,Legg-Calve-Perthes Disease
864,Bone Giant Cell Tumor
865,Cartilage Disease
866,Cartilage Disease
867,Cartilage Disease
868,"Osteopetrosis, Autosomal Dominant 1"
869,"Osteogenesis Imperfecta, Type Iv"
870,"Osteogenesis Imperfecta, Type Iv"
871,"Osteogenesis Imperfecta, Type Vi"
872,Raine Syndrome
873,Oncogenic Osteomalacia
874,"Short Stature and Advanced Bone Age, with or Without Early-Onset Osteoarthritis and/or Osteochondritis Dissecans"
875,Osteonecrosis
876,Osteonecrosis
877,Osteonecrosis
878,"Enchondromatosis, Multiple, Ollier Type"
879,"Enchondromatosis, Multiple, Ollier Type"
880,Bone Disease
881,Bone Disease
882,Bone Disease
883,Osteochondrosis
884,Osteochondrosis
885,"Endosteal Hyperostosis, Autosomal Dominant"
886,"Endosteal Hyperostosis, Autosomal Dominant"
887,Osgood-Schlatter's Disease
888,Osteopathia Striata with Cranial Sclerosis
889,Scheuermann Disease
890,Scheuermann Disease
891,Scheuermann Disease
892,Scheuermann Disease
893,Bone Marrow Cancer
894,Aneurysmal Bone Cysts
895,"Exostoses, Multiple, Type I"
896,Osteopoikilosis
897,"Osteogenesis Imperfecta, Type Ix"
898,"Osteogenesis Imperfecta, Type Xii"
899,Melorheostosis with Osteopoikilosis
900,Dentin Dysplasia with Sclerotic Bones
901,Osteochondritis Dissecans
902,Osteochondritis Dissecans
903,Osteochondritis Dissecans
904,Odontochondrodysplasia
905,Odontochondrodysplasia
906,"Osteogenesis Imperfecta, Type V"
907,"Osteogenesis Imperfecta, Type V"
908,"Mental Retardation, Skeletal Dysplasia, and Abducens Palsy"
909,"Osteogenesis Imperfecta, Type Viii"
910,"Cystic Angiomatosis of Bone, Diffuse"
911,Kienbock's Disease
912,Kienbock's Disease
913,Bone Mineral Density Quantitative Trait Locus 18
914,"Osteogenesis Imperfecta, Type Xv"
915,"Dysplasia of Head of Femur, Meyer Type"
916,Radial Deficiency-Tibial Hypoplasia Syndrome
917,"Madelung Deformity, Unilateral"
918,"Spondylometaphyseal Dysplasia, Czarny-Ratajczak Type"
919,"Spondyloepimetaphyseal Dysplasia, Isidor Type"
920,Gonococcal Bursitis
921,Gonococcal Bursitis
922,Amelia of Lower Limb
923,Visceral Calciphylaxis
924,Short-Limb Skeletal Dysplasia with Severe Combined Immunodeficiency
925,Acute Myeloid Leukemia with Abnormal Bone Marrow Eosinophils Inv(16)(p13q22) or T(16;16)(p13;q22)
926,Acute Myeloid Leukemia with Abnormal Bone Marrow Eosinophils Inv(16)(p13q22) or T(16;16)(p13;q22)
927,Beukes Hip Dysplasia
928,Beukes Hip Dysplasia
929,Beukes Hip Dysplasia
930,Osteoclastic Giant Cell Tumor of Pancreas
931,Osteoclastic Giant Cell Tumor of Pancreas
932,Osteoclastic Giant Cell Tumor of Pancreas
933,Thiemann Disease
934,"Ectodermal Dysplasia, Anhidrotic, with Immunodeficiency, Osteopetrosis, and Lymphedema"
935,Dentinogenesis Imperfecta
936,Dentinogenesis Imperfecta
937,Thrombocytopenia-Absent Radius Syndrome
938,Thrombocytopenia-Absent Radius Syndrome
939,"Otospondylomegaepiphyseal Dysplasia, Autosomal Dominant"
940,"Otospondylomegaepiphyseal Dysplasia, Autosomal Dominant"
941,"Otospondylomegaepiphyseal Dysplasia, Autosomal Dominant"
942,Ifap Syndrome with or Without Bresheck Syndrome
943,Carpal Tunnel Syndrome
944,Carpal Tunnel Syndrome
945,Rickets
946,Rickets
947,"Neuropathy, Hereditary Sensory, Type Ie"
948,"Neuropathy, Hereditary Sensory, Type Ie"
949,"Hyper-Ige Recurrent Infection Syndrome 2, Autosomal Recessive"
950,"Permanent Molars, Secondary Retention of"
951,"Permanent Molars, Secondary Retention of"
952,Sarcoma
953,Basal Cell Nevus Syndrome
954,Rothmund-Thomson Syndrome
955,Rothmund-Thomson Syndrome
956,Orofaciodigital Syndrome Viii
957,Orofaciodigital Syndrome Viii
958,Orofaciodigital Syndrome Viii
959,Orofaciodigital Syndrome Viii
960,Focal Dermal Hypoplasia
961,Orofaciodigital Syndrome I
962,Spinal Cord Disease
963,Spinal Cord Disease
964,Spinal Cord Disease
965,Orofaciodigital Syndrome Vi
966,Mandibuloacral Dysplasia with Type a Lipodystrophy
967,"Clubfoot, Congenital, with or Without Deficiency of Long Bones and/or Mirror-Image Polydactyly"
968,Orofaciodigital Syndrome Iv
969,Orofaciodigital Syndrome Iii
970,Orofaciodigital Syndrome Ix
971,Orofaciodigital Syndrome V
972,Orofaciodigital Syndrome Xiv
973,Orofaciodigital Syndrome Xi
974,Orofaciodigital Syndrome 13
975,Orofaciodigital Syndrome 12
976,Muscular Dystrophy
977,"Muscular Dystrophy, Congenital, Lmna-Related"
978,"Muscular Dystrophy, Congenital, Lmna-Related"
979,Chromosome 5q Deletion Syndrome
980,Chromosome 5q Deletion Syndrome
981,Chromosome 5q Deletion Syndrome
982,Chromosome 5q Deletion Syndrome
983,"Muscular Dystrophy, Congenital, 1b"
984,"Muscular Dystrophy, Congenital, 1b"
985,Rheumatoid Vasculitis
986,"Cutis Laxa, Autosomal Recessive, Type Iia"
987,"Spondyloepimetaphyseal Dysplasia, Sponastrime Type"
988,"Digital Arthropathy-Brachydactyly, Familial"
989,"Campomelia, Cumming Type"
990,Wt Limb-Blood Syndrome
991,Corneodermatoosseous Syndrome
992,Familial Avascular Necrosis of the Femoral Head
993,Cyprus Facial Neuromusculoskeletal Syndrome
994,Craniosynostosis
995,Pseudopseudohypoparathyroidism
996,"Schwartz-Jampel Syndrome, Type 1"
997,"Schwartz-Jampel Syndrome, Type 1"
998,"Schwartz-Jampel Syndrome, Type 1"
999,Skeletal Dysplasias
1000,Marshall-Smith Syndrome
1001,Achondrogenesis
1002,Achondrogenesis
1003,Skeletal Tuberculosis
1004,Saul-Wilson Syndrome
1005,Short Stature with Nonspecific Skeletal Abnormalities
1006,"Bone Dysplasia, Lethal, Holmgren Type"
1007,Radiohumeral Fusions with Other Skeletal and Craniofacial Anomalies
1008,Adamantinoma of Long Bones
1009,Cleidocranial Dysplasia
1010,Cleidocranial Dysplasia
1011,Weaver Syndrome
1012,"Multiple Enchondromatosis, Maffucci Type"
1013,"Multiple Enchondromatosis, Maffucci Type"
1014,Floating-Harbor Syndrome
1015,Bruck Syndrome
1016,Bruck Syndrome
1017,Chops Syndrome
1018,High Bone Mass Osteogenesis Imperfecta
1019,Tibial Aplasia-Ectrodactyly Syndrome
1020,Pyknoachondrogenesis
1021,Osteopathia Striata with Pigmentary Dermopathy Including White Forelock
1022,Anophthalmia Megalocornea Cardiopathy Skeletal Anomalies
1023,Dysplasia Epiphysealis Hemimelica with Chondromas and Osteochondromas
1024,Bowing of Long Bones Congenital
1025,Bowing of Long Bones Congenital
1026,Bowing of Long Bones Congenital
1027,Malignant Neoplasm of Short Bones of Lower Limb
1028,Spondyloarthropathy 1
1029,Fibrodysplasia Ossificans Progressiva
1030,Fibrodysplasia Ossificans Progressiva
1031,Fibrodysplasia Ossificans Progressiva
1032,Hyperostosis
1033,Hyperostosis
1034,Sapho Syndrome
1035,Yunis-Varon Syndrome
1036,"Spondyloepimetaphyseal Dysplasia, Strudwick Type"
1037,"Arthropathy, Progressive Pseudorheumatoid, of Childhood"
1038,Acrocapitofemoral Dysplasia
1039,Opsismodysplasia
1040,"Atelosteogenesis, Type I"
1041,Czech Dysplasia
1042,Metachondromatosis
1043,"Mucopolysaccharidosis, Type Ii"
1044,"Mucopolysaccharidosis, Type Ii"
1045,"Mucopolysaccharidosis, Type Vii"
1046,"Mucopolysaccharidosis, Type Vii"
1047,Mucopolysaccharidosis Iii
1048,Mucopolysaccharidosis Iii
1049,Mucopolysaccharidosis-Plus Syndrome
1050,Mucopolysaccharidosis Iv
1051,Mucopolysaccharidosis Iv
1052,Mucopolysaccharidosis Iv
1053,Hypochondroplasia
1054,Hypochondroplasia
1055,Thrombocytopenia
1056,Ehlers-Danlos Syndrome
1057,Distal Arthrogryposis
1058,Central Core Disease of Muscle
1059,Gm1 Gangliosidosis
1060,Gm1 Gangliosidosis
1061,"Hyper-Ige Recurrent Infection Syndrome 1, Autosomal Dominant"
1062,"Hyper-Ige Recurrent Infection Syndrome 1, Autosomal Dominant"
1063,"Gm1-Gangliosidosis, Type I"
1064,Emery-Dreifuss Muscular Dystrophy
1065,Whim Syndrome
1066,"Pituitary Adenoma 4, Acth-Secreting"
1067,"Pituitary Adenoma 4, Acth-Secreting"
1068,"Emery-Dreifuss Muscular Dystrophy 2, Autosomal Dominant"
1069,"Emery-Dreifuss Muscular Dystrophy 2, Autosomal Dominant"
1070,Lysinuric Protein Intolerance
1071,"Gm2-Gangliosidosis, Ab Variant"
1072,Thrombocytopenia 1
1073,Beare-Stevenson Cutis Gyrata Syndrome
1074,Lethal Congenital Contracture Syndrome 2
1075,"Chondrodysplasia Punctata 2, X-Linked Dominant"
1076,"Gm1-Gangliosidosis, Type Ii"
1077,"Arthrogryposis, Distal, Type 2a"
1078,Rippling Muscle Disease 2
1079,Rippling Muscle Disease 2
1080,Rippling Muscle Disease 2
1081,"Isolated Growth Hormone Deficiency, Type Ib"
1082,"Isolated Growth Hormone Deficiency, Type Ib"
1083,"Arthrogryposis, Distal, Type 9"
1084,Acquired Thrombocytopenia
1085,"Albinism, Ocular, Type I"
1086,3mc Syndrome
1087,Stapes Ankylosis with Broad Thumbs and Toes
1088,Primary Thrombocytopenia
1089,Primary Thrombocytopenia
1090,"Arthrogryposis, Distal, Type 7"
1091,"Gm1-Gangliosidosis, Type Iii"
1092,"Spinal Muscular Atrophy, X-Linked 2"
1093,3mc Syndrome 2
1094,"Spondylometaphyseal Dysplasia, Axial"
1095,Craniosynostosis 2
1096,"Emery-Dreifuss Muscular Dystrophy 3, Autosomal Recessive"
1097,"Arthrogryposis, Distal, Type 10"
1098,"Arthrogryposis, Distal, Type 10"
1099,Satb2-Associated Syndrome
1100,"Arthrogryposis, Distal, Type 6"
1101,Craniosynostosis 4
1102,Microcephaly with Cervical Spine Fusion Anomalies
1103,Foix-Alajouanine Syndrome
1104,Foix-Alajouanine Syndrome
1105,Auriculoosteodysplasia
1106,Dentinogenesis Imperfecta Type 2
1107,Sickle Cell Anemia
1108,Sickle Cell Anemia
1109,Sickle Cell Anemia
1110,Sickle Cell Anemia
1111,Sickle Cell Anemia
1112,Sickle Cell Anemia
1113,Werner Syndrome
1114,Familial Mediterranean Fever
1115,Familial Mediterranean Fever
1116,Body Mass Index Quantitative Trait Locus 11
1117,Body Mass Index Quantitative Trait Locus 11
1118,Body Mass Index Quantitative Trait Locus 11
1119,Body Mass Index Quantitative Trait Locus 11
1120,Graft-Versus-Host Disease
1121,Juvenile Myelomonocytic Leukemia
1122,Juvenile Myelomonocytic Leukemia
1123,Juvenile Myelomonocytic Leukemia
1124,Chronic Granulomatous Disease
1125,Chronic Granulomatous Disease
1126,"Nevus, Epidermal"
1127,"Nevus, Epidermal"
1128,Chronic Graft Versus Host Disease
1129,Spinal Cord Injury
1130,Cockayne Syndrome
1131,Cockayne Syndrome
1132,Localized Scleroderma
1133,Localized Scleroderma
1134,Chronic Myelomonocytic Leukemia
1135,Chronic Myelomonocytic Leukemia
1136,Intervertebral Disc Disease
1137,Intervertebral Disc Disease
1138,Reactive Arthritis
1139,Reactive Arthritis
1140,Reactive Arthritis
1141,Reactive Arthritis
1142,Spinal Stenosis
1143,Spinal Stenosis
1144,Spinal Stenosis
1145,Septic Arthritis
1146,Septic Arthritis
1147,Fibrosarcoma
1148,Neuraminidase Deficiency
1149,Dent Disease 1
1150,Hyperparathyroidism
1151,Fucosidosis
1152,Fucosidosis
1153,Childhood Type Dermatomyositis
1154,Childhood Type Dermatomyositis
1155,Paracoccidioidomycosis
1156,Paracoccidioidomycosis
1157,Paracoccidioidomycosis
1158,Paracoccidioidomycosis
1159,Paracoccidioidomycosis
1160,Antithrombin Iii Deficiency
1161,Antithrombin Iii Deficiency
1162,"Bleeding Disorder, Platelet-Type, 11"
1163,"Bleeding Disorder, Platelet-Type, 11"
1164,Acute Graft Versus Host Disease
1165,Carney Complex Variant
1166,Rhabdomyosarcoma 2
1167,Rhabdomyosarcoma
1168,Primary Pigmented Nodular Adrenocortical Disease
1169,Congenital Hydrocephalus
1170,Congenital Hydrocephalus
1171,Congenital Hydrocephalus
1172,Congenital Hydrocephalus
1173,"Vitamin D-Dependent Rickets, Type 2a"
1174,Secondary Hyperparathyroidism
1175,Pyoderma Gangrenosum
1176,Pyoderma Gangrenosum
1177,Mitochondrial Trifunctional Protein Deficiency
1178,Sotos Syndrome 1
1179,Sotos Syndrome 1
1180,Brittle Cornea Syndrome 2
1181,Erythema Elevatum Diutinum
1182,Erythema Elevatum Diutinum
1183,"Metaphyseal Chondrodysplasia, Jansen Type"
1184,Schnitzler Syndrome
1185,Myeloid Sarcoma
1186,Myeloid Sarcoma
1187,Myeloid Sarcoma
1188,Familial Cold Autoinflammatory Syndrome
1189,Diffuse Cutaneous Systemic Sclerosis
1190,"Sensory Ataxic Neuropathy, Dysarthria, and Ophthalmoparesis"
1191,"Sensory Ataxic Neuropathy, Dysarthria, and Ophthalmoparesis"
1192,"Sensory Ataxic Neuropathy, Dysarthria, and Ophthalmoparesis"
1193,Calciphylaxis
1194,Nose Disease
1195,Spondylosis
1196,Spondylosis
1197,Meier-Gorlin Syndrome 1
1198,Congenital Hemidysplasia with Ichthyosiform Erythroderma and Limb Defects
1199,Cogan Syndrome
1200,Cogan Syndrome
1201,Polyarteritis Nodosa
1202,Polyarteritis Nodosa
1203,Polyarteritis Nodosa
1204,Isolated Ectopia Lentis
1205,Isolated Ectopia Lentis
1206,Limited Scleroderma
1207,Limited Scleroderma
1208,Chromosome 1p36 Deletion Syndrome
1209,"Hypophosphatemic Rickets with Hypercalciuria, Hereditary"
1210,"Polydactyly, Postaxial, Type A1"
1211,"Psoriasis 14, Pustular"
1212,"Psoriasis 14, Pustular"
1213,"Psoriasis 14, Pustular"
1214,Split-Hand/foot Malformation 1
1215,Polyglucosan Body Myopathy 1 with or Without Immunodeficiency
1216,"Chondrosarcoma, Extraskeletal Myxoid"
1217,Kimura Disease
1218,Crouzon Syndrome with Acanthosis Nigricans
1219,Culler-Jones Syndrome
1220,"Renal Tubular Acidosis, Distal, Autosomal Dominant"
1221,Multicentric Reticulohistiocytosis
1222,Multicentric Reticulohistiocytosis
1223,Multicentric Reticulohistiocytosis
1224,Postaxial Acrofacial Dysostosis
1225,"Mucopolysaccharidosis, Type Iva"
1226,Enthesopathy
1227,Enthesopathy
1228,Enthesopathy
1229,Bursitis
1230,Hartsfield Syndrome
1231,Chilblain Lupus 1
1232,Marinesco-Sjogren Syndrome
1233,Lethal Congenital Contracture Syndrome 1
1234,Frontonasal Dysplasia 1
1235,Auriculo-Condylar Syndrome
1236,"Plasminogen Deficiency, Type I"
1237,"Plasminogen Deficiency, Type I"
1238,Myoglobinuria
1239,"Aplasia Cutis Congenita, Nonsyndromic"
1240,"Hypocalciuric Hypercalcemia, Familial, Type Ii"
1241,"Hypocalciuric Hypercalcemia, Familial, Type Ii"
1242,Kikuchi Disease
1243,Mikulicz Disease
1244,Mikulicz Disease
1245,Hyperparathyroidism 1
1246,Rapadilino Syndrome
1247,"Bleeding Disorder, Platelet-Type, 16"
1248,Neurogenic Arthropathy
1249,"Toe Syndactyly, Telecanthus, and Anogenital and Renal Malformations"
1250,Familial Cold Autoinflammatory Syndrome 2
1251,Parkes Weber Syndrome
1252,Hypocomplementemic Urticarial Vasculitis
1253,"Fibrosclerosis, Multifocal"
1254,Orbital Cancer
1255,Weyers Acrofacial Dysostosis
1256,Familial Calcium Pyrophosphate Deposition
1257,"Chromosome 17q11.2 Deletion Syndrome, 1.4-Mb"
1258,"Chromosome 17q11.2 Deletion Syndrome, 1.4-Mb"
1259,"Chromosome 17q11.2 Deletion Syndrome, 1.4-Mb"
1260,Femoral-Facial Syndrome
1261,Systemic Lupus Erythematosus 16
1262,"Arthrogryposis, Distal, Type 5"
1263,"Mucopolysaccharidosis, Type Ivb"
1264,"Split-Hand/foot Malformation 1 with Sensorineural Hearing Loss, Autosomal Recessive"
1265,"Split-Hand/foot Malformation 1 with Sensorineural Hearing Loss, Autosomal Recessive"
1266,Autoinflammation with Infantile Enterocolitis
1267,Catel-Manzke Syndrome
1268,De Quervain Disease
1269,"Ehlers-Danlos Syndrome, Classic-Like"
1270,Dent Disease 2
1271,"Neutrophilic Dermatosis, Acute Febrile"
1272,Welander Distal Myopathy
1273,"Pseudohypoparathyroidism, Type Ii"
1274,Desmosterolosis
1275,"Short Stature, Idiopathic, X-Linked"
1276,Otofaciocervical Syndrome 1
1277,"Tumoral Calcinosis, Normophosphatemic, Familial"
1278,Wrinkly Skin Syndrome
1279,Familial Tumoral Calcinosis
1280,Mohr Syndrome
1281,"Spondylometaphyseal Dysplasia, Sedaghatian Type"
1282,"Ehlers-Danlos Syndrome, Dermatosparaxis Type"
1283,Robin Sequence with Cleft Mandible and Limb Anomalies
1284,Roifman Syndrome
1285,Tooth Ankylosis
1286,Cockayne Syndrome Type I
1287,Fetal Thalidomide Syndrome
1288,Musculocontractural Ehlers-Danlos Syndrome
1289,Cockayne Syndrome Type Ii
1290,Say Syndrome
1291,Hyperostosis Frontalis Interna
1292,Aminopterin Syndrome Sine Aminopterin
1293,Ivic Syndrome
1294,Ankyloblepharon Filiforme Adnatum and Cleft Palate
1295,"Cleft, Median, of Upper Lip with Polyps of Facial Skin and Nasal Mucosa"
1296,"Anemia, Congenital Dyserythropoietic, Type Iv"
1297,"Vascular Malformation, Primary Intraosseous"
1298,"Thrombophilia Due to Protein C Deficiency, Autosomal Recessive"
1299,"Bleeding Disorder, Platelet-Type, 8"
1300,"Bleeding Disorder, Platelet-Type, 8"
1301,Cousin Syndrome
1302,Orofaciodigital Syndrome X
1303,Orofaciodigital Syndrome X
1304,"Bleeding Disorder, Platelet-Type, 17"
1305,Cockayne Syndrome Type Iii
1306,"Epiphyseal Dysplasia, Multiple, with Myopia and Conductive Deafness"
1307,Bifid Nose
1308,"Bleeding Disorder, Platelet-Type, 19"
1309,"Bleeding Disorder, Platelet-Type, 19"
1310,Acalvaria
1311,"Autoimmune Interstitial Lung, Joint, and Kidney Disease"
1312,Acquired Pure Red Cell Aplasia
1313,Acquired Pure Red Cell Aplasia
1314,Immunodeficiency 40
1315,"Bleeding Disorder, Platelet-Type, 13"
1316,Acrodysostosis with Multiple Hormone Resistance
1317,"Anemia, X-Linked, with or Without Neutropenia and/or Platelet Abnormalities"
1318,"Joint Laxity, Familial"
1319,"Heart-Hand Syndrome, Slovenian Type"
1320,Craniotelencephalic Dysplasia
1321,Immunodeficiency 38 with Basal Ganglia Calcification
1322,"Preaxial Deficiency, Postaxial Polydactyly, and Hypospadias"
1323,Indeterminate Cell Histiocytosis
1324,"Bleeding Disorder, Platelet-Type, 18"
1325,"Bleeding Disorder, Platelet-Type, 18"
1326,Rhizomelic Syndrome
1327,"Bleeding Disorder, Platelet-Type, 9"
1328,"Bleeding Disorder, Platelet-Type, 9"
1329,"Phocomelia-Ectrodactyly, Ear Malformation, Deafness, and Sinus Arrhythmia"
1330,Radio-Ulnar Synostosis-Amegakaryocytic Thrombocytopenia Syndrome
1331,"Alar Cleft, Isolated"
1332,Aphalangy with Hemivertebrae
1333,Ankylosing Vertebral Hyperostosis with Tylosis
1334,Chromosome 17q23.1-Q23.2 Duplication Syndrome
1335,Thrombophilia Due to Histidine-Rich Glycoprotein Deficiency
1336,"Cardioskeletal Syndrome, Kuwaiti Type"
1337,"Heart-Hand Syndrome, Spanish Type"
1338,Craniosynostosis-Hydrocephalus-Arnold-Chiari Malformation Type I-Radioulnar Synostosis Syndrome
1339,"Zinc, Elevated Plasma"
1340,Sickle Cell - Hemoglobin D Disease
1341,Upington Disease
1342,"Myoglobinuria, Autosomal Dominant"
